"CodeRegion";"ChefLieuRegion";"NomRegion";"NomRegionEnr";"TypNom";"TypRegion"
"01";"97105";"GUADELOUPE";"Guadeloupe";3,00;"DOM"
"02";"97209";"MARTINIQUE";"Martinique";3,00;"DOM"
"03";"97302";"GUYANE";"Guyane";3,00;"DOM"
"04";"97411";"LA REUNION";"La Réunion";0,00;"DOM"
"06";"97608";"MAYOTTE";"Mayotte";0,00;"DOM"
"11";"75056";"ILE-DE-FRANCE";"Île-de-France";1,00;"Métropole"
"24";"45234";"CENTRE-VAL DE LOIRE";"Centre-Val de Loire";2,00;"Métropole"
"27";"21231";"BOURGOGNE-FRANCHE-COMTE";"Bourgogne-Franche-Comté";0,00;"Métropole"
"28";"76540";"NORMANDIE";"Normandie";0,00;"Métropole"
"32";"59350";"HAUTS-DE-FRANCE";"Hauts-de-France";4,00;"Métropole"
"44";"67482";"GRAND EST";"Grand Est";2,00;"Métropole"
"52";"44109";"PAYS DE LA LOIRE";"Pays de la Loire";4,00;"Métropole"
"53";"35238";"BRETAGNE";"Bretagne";0,00;"Métropole"
"75";"33063";"NOUVELLE-AQUITAINE";"Nouvelle-Aquitaine";3,00;"Métropole"
"76";"31555";"OCCITANIE";"Occitanie";1,00;"Métropole"
"84";"69123";"AUVERGNE-RHONE-ALPES";"Auvergne-Rhône-Alpes";1,00;"Métropole"
"93";"13055";"PROVENCE-ALPES-COTE D'AZUR";"Provence-Alpes-Côte d'Azur";0,00;"Métropole"
"94";"2A004";"CORSE";"Corse";0,00;"Métropole"
"ZN";"98818";"NOUVELLE-CALEDONIE";"Nouvelle-Calédonie";3,00;"TOM"
"ZP";"98735";"POLYNESIE FRANCAISE";"Polynésie française";3,00;"TOM"
"ZS";"97502";"SAINT-PIERRE-ET-MIQUELON";"Saint-Pierre-et-Miquelon";0,00;"TOM"
"ZW";"98601";"WALLIS-ET-FUTUNA";"Wallis-et-Futuna";0,00;"TOM"
"ZX";"97801";"SAINT-MARTIN/SAINT-BARTHELEMY";"Saint-Martin/Saint-Barthélemy";0,00;"TOM"
"ZZ";"ZZ079";"FRANCAIS ETABLIS HORS DE FRANCE";"Français établis hors de France";4,00;"Autres"
